"Nombre de Restaurante","ID","Created Date","Updated Date","Owner","Ciudad","Tipo de Restaurante","Imagen de Portada","Galería de fotos del negocio","Excerpt del negocio proyecto","Multirreferencia","Titulo SEO","Metadescripción SEO","URL de whatsapp personalizado","Principal en la página","Publish Date","Unpublish Date","Status"
"Cervecería Dragón (franquicia)","2486e8d0-325b-4883-a8a5-9ce5ab09a584",2026-03-21T19:01:50Z,2026-03-21T19:02:55Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Snacksbar",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Bar la caminera ","25497eac-f837-45ff-8c2f-75a31bf94031",2026-03-21T19:01:50Z,2026-03-21T19:01:50Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,,,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Santas Alitas (franquicia)","4e9d4be9-724f-4e22-aa97-cc8e78c8255e",2026-03-21T19:01:50Z,2026-03-21T19:02:53Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Snacksbar",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Taquería la salsa Mixe ","587a3fc6-4492-4b55-9a74-6124d49f70a1",2026-03-21T19:01:50Z,2026-03-21T19:02:17Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Taquería",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Taquería TR","61c66f12-cb61-418c-a813-a7391f7117bd",2026-03-21T19:01:50Z,2026-03-21T19:02:35Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Taquería",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Despecho (Bar)","62f9d00a-1475-473a-b2ed-b6dbc650c0c7",2026-03-21T19:01:50Z,2026-03-21T19:03:40Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Bar",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Taquería el Tigre ","6c79cffb-ad66-401e-9a08-22766a28359d",2026-03-21T19:01:50Z,2026-03-21T19:02:59Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Taquería",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Bar santomar","70cc08b9-aa24-4d1b-a9e5-137871c0bc83",2026-03-21T19:01:50Z,2026-03-21T19:01:50Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,,,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Taquería el Gavilán ","76ba1123-bdee-469a-ada4-9f96fc3f3e3c",2026-03-21T19:01:50Z,2026-03-21T19:02:33Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Taquería",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"La cervicheria ","8b362bbc-eb07-4c0b-8c41-64ba4116011d",2026-03-21T19:01:50Z,2026-03-21T19:03:05Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Restaurante Mariscos",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Taquería Los Pastorcitos ","90506a02-e5ac-433c-ac6e-4eefbc36143a",2026-03-21T19:01:50Z,2026-03-21T19:02:29Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Taquería",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Taquería la sierra Mixe ","94c41246-afeb-4871-97aa-2f6f23093cf2",2026-03-21T19:01:50Z,2026-03-21T19:02:37Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Taquería",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Taquería Pastorcito's","a4e39b72-153f-4480-aa93-c2f815334550",2026-03-21T19:01:50Z,2026-03-21T19:02:31Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Taquería",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Oveja negra ","a88cda5f-9b37-4976-8b5e-1735117aad71",2026-03-21T19:01:50Z,2026-03-21T19:02:35Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Taquería",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Mariscos Costa Azul ","ac80d382-5ee0-46c2-81ec-c8f960fd50f1",2026-03-21T19:01:50Z,2026-03-21T19:02:27Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Restaurante Mariscos",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
"Retro Cherry ","b3ffa40b-860f-4557-a3d1-f959faa85cfa",2026-03-21T19:01:34Z,2026-03-21T19:01:50Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,,,,,,,,,,2026-03-21T19:01:32Z,,"PUBLISHED"
"Paletería la flor de Michoacán ","cd539b5a-9b4b-4d93-8277-c3b2a9a7bbec",2026-03-21T19:01:33Z,2026-03-21T19:13:19Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Paletería",,,,"[""ae2469a3-3078-454a-97fc-3244460ec8b0"",""94709072-24b2-487b-ae5e-f13adaee0a23"",""bcd9393e-c9e6-45e4-b402-e21f1da26259""]",,,,,2026-03-21T19:01:32Z,,"PUBLISHED"
"Fresalandia","dbbfbfc1-778f-4edb-b97c-5674d3330096",2026-03-21T19:01:35Z,2026-03-21T19:01:50Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,,,,,,,,,,2026-03-21T19:01:32Z,,"PUBLISHED"
"Divertílandia","e8a721ea-2917-4d09-9dee-af73be345670",2026-03-21T19:01:50Z,2026-03-21T19:03:17Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,"Negocios",,,,,,,,,2026-03-21T19:01:49Z,,"PUBLISHED"
