"Status","Title","FOTO DE PRODUCTO","Medidas","Estilo","Color del Vinil","Referencia","ID","Created Date","Updated Date","Owner","Tipo de Mesa","Publish Date","Unpublish Date"
"PUBLISHED","CHABELLI Brillo - Bitonado","wix:image://v1/45119e_360a398dfa78455e977ff3a4d13cbb80~mv2.png/chabeli-golden-26-bitnado-pvc-Photoroom.png#originWidth=1080&originHeight=1080","Terminado rústico","Cromo","Café bitonado","conjunto-modelo-chabeli-estandar-4-sillas","021d8a9e-b478-4565-b51e-c678373b830b",2026-03-20T23:12:17Z,2026-03-21T05:25:31Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
"PUBLISHED","Chabeli Periquero Negro Mate","wix:image://v1/45119e_393922b2600e4f2c8167afaa8e51f695~mv2.png/Chabeli%20periquero%20negro%20amarillos.png#originWidth=1024&originHeight=1024","Mesa de 60x60cm","Negro","Amarillo","conjunto-periquero-modelo-chabeli-negro-mate-4-bancos","0d54ebaa-bfcd-4ea0-ab0b-b7fd2686916f",2026-03-21T05:20:53Z,2026-03-21T05:25:31Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
"PUBLISHED","CHABELLI","wix:image://v1/45119e_a77b3b91e405480a892a4a52d2f1d829~mv2.png/chabeli-rey-80x80-pvc-Photoroom.png#originWidth=1200&originHeight=1200",,,"Azul","conjunto-modelo-chabeli-estandar-4-sillas","10fbc65b-64ae-4787-abf4-26bbfd653ab2",2026-03-20T23:11:04Z,2026-03-21T05:25:31Z,"69fcc116-239a-4a02-9d94-8cc5b6914ded",,2026-03-20T23:11:03Z,
"PUBLISHED","Chabeli Periquero Negro Mate","wix:image://v1/45119e_c5cddcb41d5e4db48fd838ad351b4114~mv2.png/Chabeli%20periquero%20negro%20Azul%20Marino.png#originWidth=1024&originHeight=1024","Mesa de 60x60cm","Negro","Azul Marino","conjunto-periquero-modelo-chabeli-negro-mate-4-bancos","3755d3d4-4d68-4210-b631-aff376105ed4",2026-03-21T05:37:10Z,2026-03-21T05:38:37Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
"PUBLISHED","CHABELLI Naranja Deslavado  - Naranja","wix:image://v1/45119e_7728cd5c7bff4bbd8b738187ca2b26d8~mv2.png/chabeli-naranja-deslavado-pvc-80x80-Photoroom.png#originWidth=1080&originHeight=1080","Sin terminado adicional","Negro","Naranja","conjunto-modelo-chabeli-estandar-4-sillas","56a4c738-6fc3-4951-b3f5-cdf978026936",2026-03-20T23:12:19Z,2026-03-21T05:25:31Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
"PUBLISHED","Chabeli Periquero Negro Mate","wix:image://v1/45119e_f0dbbbc6f96d4afca8c6dcb143b61add~mv2.png/Chabeli%20periquero%20chocolate%20amarillos.png#originWidth=1024&originHeight=1024","Mesa de 60cm de diámetro","Chocolate","Amarillo","conjunto-periquero-modelo-chabeli-negro-mate-4-bancos","624fb24a-3369-4f2e-92fc-778f6015d4f8",2026-03-21T05:10:31Z,2026-03-21T05:25:31Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
"PUBLISHED","Chabeli Periquero Negro Mate","wix:image://v1/45119e_5bc254a3c1154243a76f004cb0ffb269~mv2.jpg/PERIQUERO%20CHABELI%20CROMO%20CUB%20NEGRO%20MATE%2060%C2%B0%20PVC.jpg#originWidth=1200&originHeight=1200","Mesa de 60cm de diámetro","Cromo","Negro","conjunto-periquero-modelo-chabeli-negro-mate-4-bancos","7e794c62-c0b1-48d2-ad9d-981c321b55ff",2026-03-21T05:25:36Z,2026-03-21T05:38:59Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
"PUBLISHED","Chabeli Periquero Negro Mate","wix:image://v1/45119e_aa46a0056834491a82977dc12c02d8fb~mv2.jpg/PERIQUERO%20CHABELI%20PINT%20CHOCOLATE%20CUB%20NEGRO%20MATE%2060%C2%B0%20PVC.jpg#originWidth=1200&originHeight=1200","Mesa de 60cm de diámetro","Chocolate","Negro","conjunto-periquero-modelo-chabeli-negro-mate-4-bancos","801f7b52-fd07-41d3-b750-fa9cdc9ddbfa",2026-03-21T05:24:36Z,2026-03-21T05:25:34Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
"PUBLISHED","CHABELLI Verde - Blanco","wix:image://v1/45119e_5f410e3275ad498aa320f01422ba73a3~mv2.jpg/CONJUNTO%20CHABELI%2080X80%20VERDE%20MANZANA%20PVC%20ASIENTOS%20BLANCOS.jpg#originWidth=1200&originHeight=1200","Sin terminado adicional","Chocolate","Blanco","conjunto-periquero-modelo-chabeli-negro-mate-4-bancos","a07c55a5-0163-4272-9c59-a368f0d8b80b",2026-03-13T01:28:23Z,2026-03-24T19:04:01Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-13T01:28:22Z,
"PUBLISHED","Chabeli Periquero Negro Mate","wix:image://v1/45119e_ac260996ded2455a8286672d3e394cda~mv2.png/Chabeli%20periquero%20chocolate%20Azul%20Marino.png#originWidth=1024&originHeight=1024","Mesa de 60cm de diámetro","Chocolate","Azul Marino","conjunto-periquero-modelo-chabeli-negro-mate-4-bancos","a173e247-3d4f-45d0-affd-c48d53ea7621",2026-03-21T05:37:13Z,2026-03-21T05:38:26Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-21T05:37:12Z,
"PUBLISHED","CHABELLI Amarillo - Negro","wix:image://v1/45119e_7026f9f6b88e4d26be4e3df85832196d~mv2.png/chabelli%20amarillo%20y%20negro%20blanco.png#originWidth=1000&originHeight=1000","Sin terminado adicional","Negro","Negro","conjunto-modelo-chabeli-estandar-4-sillas","a5b01cf5-928e-422a-bd89-c9cad7ce48b2",2026-03-20T23:12:16Z,2026-03-21T05:25:31Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
"PUBLISHED","CHABELLI Wood - Bitonado","wix:image://v1/45119e_2087a1b1713e4e8f8450d04000618aed~mv2.png/chabeli%20chocolate%20wood%20pvc-Photoroom.png#originWidth=1080&originHeight=1080","Terminado rústico","Chocolate","Café bitonado","conjunto-periquero-modelo-chabeli-negro-mate-4-bancos","befecfca-97d3-4531-a466-02844c1bc163",2026-03-20T23:08:55Z,2026-03-24T19:03:56Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
"PUBLISHED","Chabeli Periquero Negro Mate","wix:image://v1/45119e_85d08da16a3344ec9271ca3da966100b~mv2.jpg/PERIQUERO%20CHABELI%20PINT%20CUB%20NEGRO%20MATE%2060X60%20PVC.jpg#originWidth=1200&originHeight=1200","Mesa de 60x60cm","Negro","Negro","conjunto-periquero-modelo-chabeli-negro-mate-4-bancos","c04aa785-5ecc-45c8-8928-de2632e670b6",2026-03-21T05:22:11Z,2026-03-21T05:25:31Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
"PUBLISHED","CHABELLI Duelilla - Bitonado","wix:image://v1/45119e_cf15bb7f21434bdd8f1cf32b207462e2~mv2.png/chabeli-duelilla-bitonado-pvc-Photoroom.png#originWidth=1080&originHeight=1080","Terminado boleado","Negro","Café bitonado","conjunto-modelo-chabeli-estandar-4-sillas","d0cdf601-717f-4f87-81b8-e48f2b12be9f",2026-03-20T23:12:17Z,2026-03-21T05:25:31Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
"PUBLISHED","Chabeli Periquero Negro Mate","wix:image://v1/45119e_c7b62f7c2619482aa4b4ec847c7428dd~mv2.png/Chabeli%20Periquero%20Cromados%20Bancos%20Azul%20Marino.png#originWidth=1024&originHeight=1024","Mesa de 60cm de diámetro","Cromo","Azul Marino","conjunto-periquero-modelo-chabeli-negro-mate-4-bancos","e169a0ab-ef6e-4791-a3bc-470ceb3507bd",2026-03-21T05:37:13Z,2026-03-21T05:39:09Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-21T05:37:12Z,
"PUBLISHED","CHABELLI Naranja - Naranja","wix:image://v1/45119e_30c16193b522496bb69a7f30fe03248e~mv2.png/CHABELI-80X80-NARANJA-26-PVC--Photoroom.png#originWidth=1080&originHeight=1080","Sin terminado adicional","Cromo","Naranja","conjunto-modelo-chabeli-estandar-4-sillas","e7a05903-1f14-4e14-982a-08236d51ee98",2026-03-20T23:12:18Z,2026-03-21T05:25:31Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
"PUBLISHED","Chabeli Periquero Negro Mate","wix:image://v1/45119e_6b774981b76b4873841c4c41f9ae77d9~mv2.jpg/PERIQUERO%20CHABELI%20CROMO%20CUB%20NEGRO%20MATE%2060%C2%B0%20PVC.jpg#originWidth=1200&originHeight=1200","Mesa de 60cm de diámetro","Cromo","Amarillo","conjunto-periquero-modelo-chabeli-negro-mate-4-bancos","fa525a1d-880e-4469-bc87-85272d2ba2f4",2026-03-21T05:00:15Z,2026-03-21T05:25:31Z,"45119e62-fb47-42df-8e3f-62a36597ee45",,2026-03-20T23:08:55Z,
